run,commits,criterion_3,criterion_5,criterion_6,criterion_7
run-11-rep-02,15,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-02,16,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-02,17,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-02,18,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-02,19,Pass,Unverifiable,Pass,Pass
run-11-rep-02,20,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-03,1,Pass,Unverifiable,Pass,Pass
run-11-rep-03,2,Pass,Unverifiable,Pass,Unverifiable
run-11-rep-03,3,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-03,4,Pass,Pass,Pass,Pass
run-11-rep-03,5,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-03,6,Fail,Unverifiable,Pass,Unverifiable
run-11-rep-03,7,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-03,8,Pass,Unverifiable,Pass,Pass
run-11-rep-03,9,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-03,10,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-03,11,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-03,12,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-03,13,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-03,14,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-03,15,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-03,16,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-03,17,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-03,18,Fail,Unverifiable,Pass,Unverifiable
run-11-rep-03,19,Pass,Unverifiable,Pass,Pass
run-11-rep-03,20,Pass,Unverifiable,Unverifiable,Unverifiable
run-11-rep-04,1,Pass,Unverifiable,Pass,Pass
run-11-rep-04,2,Pass,Unverifiable,Pass,Unverifiable
run-11-rep-04,3,Pass,Unverifiable,Unverifiable,Unverifiable
